107,251,
104,251,
103,237,
110,219,
102,239,
108,247,
99,243,
104,234,
103,212,
105,225,
97,236,
106,218,
103,244,
97,246,
104,261,
103,237,
97,251,
97,236,
110,233,
105,223,
105,211,
104,232,
102,237,
108,244,
103,219,
96,244,
101,258,
98,242,
106,233,
105,226,
104,247,
101,236,
99,237,
107,226,
107,225,
98,246,
106,259,
105,257,
108,252,
104,238,
109,239,
109,239,
107,257,
102,250,
100,236,
103,236,
109,251,
96,239,
97,238,
105,229,
105,235,
106,245,
98,262,
107,254,
107,257,
102,269,
109,258,
102,230,
105,245,
102,233,
101,231,
104,222,
101,233,
107,245,
107,227,
102,220,
104,233,
104,232,
106,249,
103,255,
104,265,
102,253,
107,242,
112,261,
105,255,
99,279,
112,284,
100,256,
106,247,
106,259,
109,250,
108,244,
99,243,
106,258,
98,250,
103,270,
102,268,
102,245,
106,251,
103,236,
104,226,
108,218,
99,222,
104,236,
106,237,
103,253,
106,247,
109,240,
98,262,
103,231,
108,267,
106,258,
106,260,
110,284,
108,239,
103,253,
105,268,
103,268,
102,237,
98,235,
108,230,
109,229,
100,234,
106,237,
101,248,
102,260,
111,263,
96,268,
109,261,
104,275,
104,255,
102,260,
103,264,
104,259,
94,248,
101,263,
101,265,
101,261,
111,262,
111,263,
102,236,
108,247,
104,266,
101,250,
103,257,
109,245,
107,258,
103,249,
105,229,
97,232,
107,232,
101,251,
99,235,
101,221,
104,252,
103,236,
103,228,
102,229,
105,238,
101,239,
108,268,
102,262,
104,234,
107,220,
103,237,
105,250,
107,247,
98,237,
111,247,
101,243,
103,218,
94,225,
104,245,
107,217,
101,228,
110,223,
101,235,
104,234,
109,236,
98,250,
113,271,
102,249,
99,219,
101,242,
107,249,
108,243,
104,236,
109,242,
105,242,
109,237,
107,248,
99,258,
106,246,
102,258,
105,273,
115,257,
107,257,
104,253,
99,243,
102,257,
114,270,
102,276,
109,259,
107,265,
110,249,
104,244,
107,245,
103,229,
106,215,
102,241,
106,251,
107,240,
109,246,
105,242,
102,230,
110,221,
101,214,
101,224,
102,232,
98,234,
118,233,
97,245,
107,217,
104,215,
100,240,
109,230,
105,235,
106,224,
106,239,
98,240,
106,241,
102,248,
109,255,
106,246,
100,241,
106,230,
103,241,
99,236,
109,248,
100,230,
107,247,
98,241,
106,239,
110,231,
108,225,
110,227,
104,234,
100,252,
105,255,
107,269,
105,277,
108,273,
102,246,
107,252,
102,231,
102,256,
102,245,
104,234,
105,217,
100,217,
107,230,
101,231,
100,221,
105,215,
100,238,
101,226,
102,245,
104,226,
109,226,
104,218,
107,249,
104,230,
103,229,
107,245,
105,237,
109,254,
104,246,
101,268,
110,264,
104,257,
104,237,
103,243,
103,228,
111,241,
100,236,
109,242,
100,244,
101,233,
106,244,
95,235,
104,217,
108,238,
97,228,
105,237,
103,226,
104,238,
104,230,
110,245,
109,251,
103,236,
106,235,
105,225,
105,259,
105,265,
103,265,
108,249,
108,249,
106,242,
105,248,
105,249,
106,260,
105,254,
102,246,
109,220,
96,231,
103,237,
104,255,
105,238,
108,228,
109,217,
106,245,
106,249,
106,228,
105,247,
103,231,
102,241,
108,252,
104,271,
105,248,
101,262,
101,260,
106,256,
102,239,
102,244,
101,234,
102,243,
104,238,
100,233,
109,237,
106,236,
100,222,
105,239,
105,217,
109,243,
107,216,
99,241,
106,223,
104,238,
107,250,
102,266,
102,242,
105,253,
101,249,
106,267,
104,266,
104,265,
105,252,
102,246,
110,260,
102,234,
105,251,
100,233,
105,234,
106,229,
101,226,
105,216,
104,235,
104,238,
113,277,
104,256,
106,262,
105,270,
100,268,
109,273,
108,248,
103,253,
108,246,
100,232,
103,254,
106,224,
100,238,
107,236,
101,228,
112,231,
101,207,
107,230,
104,224,
102,236,
108,242,
102,240,
105,258,
108,258,
101,233,
102,250,
102,230,
98,239,
105,227,
107,229,
104,214,
101,230,
104,220,
109,249,
106,253,
109,268,
100,254,
102,267,
111,256,
101,267,
106,274,
101,260,
102,257,
107,258,
103,252,
102,253,
103,238,
105,235,
105,225,
104,221,
103,213,
99,214,
101,238,
